filename,IFOREST,LOF,MP,NORMA,IFOREST1,HBOS,OCSVM,PCA,AE_old,CNN,LSTM,POLY,dataset,period_length,ratio,nb_anomaly,average_anom_length,median_anom_length,std_anom_length,data_len,point_anom,seq_anom,mixed_anom,type_an,min_val_norm,max_val_norm,AE_unc,LSTMAE,LSTMAE_unc,AE
101-freeway-traffic.test.out,0.789245099,0.528457638,0.523189094,0.780871951,0.561967217,0.296598278,0.641819616,0.775967047,0.658808047,0.615858709,0.359097027,0.470948595,Dodgers,288.0,0.111349206,133,42.19548872,33.0,60.99074978,50400,0,0,1,mixed,0.0,90.0,0.3050666138967449,0.3050667352413597,0.4493523113817715,0.6017616767416382
MBA_ECG801_data.out,0.807439869,0.48187484,0.514667039,0.813916349,0.587446826,0.805644433,0.357020569,0.815330533,0.220826173,0.406694955,0.399607565,0.631228366,ECG,147.0,0.126700307,345,83.69565217,75.0,81.35189341,227900,0,1,0,sequence,-4.74,2.6,0.4591507197588242,0.5076693676478026,0.3571402840796937,0.5076693676478026
MBA_ECG803_data.out,0.974166656,0.469957778,0.389756864,0.997130279,0.734172071,0.980218467,0.890453594,0.963986488,0.931446754,0.601407896,0.557305504,0.663711467,ECG,125.0,0.047851563,147,75.0,75.0,0.0,230400,0,1,0,sequence,-0.695,1.235,0.875670397167794,0.7861043185198106,0.933404867414772,0.7861043185198106
MBA_ECG805_data.out,0.93040804,0.462079642,0.244094463,0.974199114,0.721249303,0.893628837,0.704587912,0.93644099,0.857042404,0.449671705,0.511667828,0.874459831,ECG,99.0,0.087673611,208,97.11538462,101.0,19.97633585,230400,0,1,0,sequence,-3.04,2.85,0.9478563327241382,0.9247444315173668,0.9489867668462848,0.9247444315173668
MBA_ECG806_data.out,0.535587728,0.783036768,0.914707069,0.987385509,0.542096853,0.349671086,0.775272274,0.457215786,0.859422322,0.714542346,0.631410567,0.466392478,ECG,77.0,0.022630208,61,85.47540984,75.0,47.24009361,230400,0,1,0,sequence,-0.475,0.905,0.6830494369210043,0.7537494849205355,0.8362783023971546,0.7537494849205355
MBA_ECG820_data.out,0.393363493,0.640276111,0.835627848,0.97154951,0.483775348,0.378144038,0.417995051,0.382296891,0.791876052,0.492602224,0.501249209,0.420434432,ECG,100.0,0.062439236,191,75.31937173,75.0,3.155248536,230400,0,1,0,sequence,-0.925,0.855,0.6623983012781618,0.6332064176316812,0.6644322807027335,0.6332064176316812
KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.test.out,0.640057538,0.560916496,0.801358594,0.905604926,0.696768248,0.567788079,0.572838453,0.692536083,0.247657736,0.74332803,0.756572427,0.991758472,IOPS,125.0,0.006645209,63,15.73015873,10.0,14.85186787,149130,0,1,0,sequence,20.53,52.86,0.9875489753470076,0.9875489549118408,0.9916337200118778,0.9253356249692918
KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3.test.out,0.654185097,0.833389917,0.884057444,0.745057004,0.871005186,0.305620223,0.329292444,0.515265491,0.705814548,0.552928452,0.44344857,0.667978602,IOPS,288.0,0.001479964,4,3.25,3.0,0.433012702,8784,0,1,0,sequence,0.0291524858875005,0.4352527753822937,0.6337575550860539,0.6337575550860539,0.8510950934575663,0.7544320207945712
KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.test.out,0.624534952,0.408711127,0.739390336,0.848494443,0.739834055,0.588046376,0.547913631,0.701331799,0.651676483,0.792869857,0.853328749,0.994665973,IOPS,125.0,0.007275015,57,18.66666667,9.0,36.7687574,146254,0,1,0,sequence,21.1,54.31,0.9772539790673322,0.9772539418392536,0.9728742658130972,0.9453486382431564
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.test.out,0.590234268,0.695970313,0.720688147,0.689791846,0.6036309,0.464996417,0.587221866,0.51334343,0.556877957,0.656316962,0.590263699,0.620558934,IOPS,288.0,0.02345173,33,6.242424242,4.0,7.702932551,8784,0,1,0,sequence,0.0028141802601922,0.4248871004447119,0.7641703658263292,0.7641703658263292,0.7036384564713978,0.7895208333804925
KPI-42d6616d-c9c5-370a-a8ba-17ead74f3114.test.out,0.853177105,0.301343379,0.153916495,0.220637942,0.828318342,0.801490351,0.489527772,0.876955865,0.547382654,0.568607134,0.523265174,0.66722089,IOPS,6.0,0.012711097,63,30.0952381,4.0,93.62025868,149161,0,1,0,sequence,22.43,51.33,0.5992067620141709,0.5992067387345725,0.6083795558711076,0.6132861556157339
KPI-43115f2a-baeb-3b01-96f7-4ea14188343c.test.out,0.863662436,0.60019243,0.532397687,0.891008479,0.837214458,0.647206089,0.570073948,0.861334259,0.592723045,0.657530419,0.662355208,0.94733887,IOPS,51.0,0.051901065,45,124.6444444,22.0,475.1982583,108071,0,1,0,sequence,16.56,38.24,0.9412880340190006,0.9412880437278416,0.9727983043704056,0.93756793154413
KPI-431a8542-c468-3988-a508-3afd06a218da.test.out,0.722484601,0.519172246,0.775943882,0.7803768,0.808785357,0.677504574,0.649702082,0.676078998,0.510063331,0.819897306,0.70537837,0.767420392,IOPS,20.0,0.063713714,158,52.03797468,9.0,526.4341819,129046,0,1,0,sequence,1.0,9.625,0.7067368860763366,0.7067368931025961,0.7017809797911279,0.6846888862107909
KPI-4d2af31a-9916-3d9f-8a8e-8a268a48c095.test.out,0.936962979,0.757719229,0.935253929,0.94856311,0.82866505,0.938769074,0.576237293,0.925069497,0.601423846,0.676637986,0.560611958,0.822824056,IOPS,9.0,0.023210919,23,112.3913043,10.0,266.151271,111370,0,1,0,sequence,1.60000002384,7.5,0.7026912310575871,0.702691211499196,0.7441805065249905,0.7622972521616246
KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.test.out,0.809020223,0.82845517,0.739441336,0.722893201,0.893911362,0.688984725,0.652670471,0.89718855,0.517488616,0.846764625,0.770058439,0.97800448,IOPS,19.0,0.006993007,5,12.4,6.0,15.34405422,8866,0,1,0,sequence,-4.750345054519999,5.482366195090001,0.8790524674914658,0.8790524674914658,0.8933335306537225,0.8941709090550327
KPI-55f8b8b8-b659-38df-b3df-e4a5a8a54bc9.test.out,0.790022409,0.582128057,0.882848419,0.952998497,0.759654626,0.699222156,0.617610075,0.752270132,0.58444103,0.538183451,0.573962589,0.905527359,IOPS,60.0,0.040842738,72,84.59722222,3.0,156.2025626,149133,0,1,0,sequence,63.69,208.69,0.9148668096148171,0.914392812394244,0.9249616193657392,0.7516151174751895
KPI-57051487-3a40-3828-9084-a12f7f23ee38.test.out,0.944631935,0.473031926,0.479186076,0.790622799,0.900864389,0.987061428,0.815472889,0.986335148,0.786901235,0.870637646,0.940445528,0.999666606,IOPS,20.0,0.000411895,5,9.2,10.0,2.785677655,111679,0,1,0,sequence,0.0,99.5,0.9998072098830056,0.9998072098830056,0.9997931887835878,0.9998060414580544
KPI-6a757df4-95e5-3357-8406-165e2bd49360.test.out,0.734749926,0.464539097,0.810229711,0.93361844,0.796339887,0.239502582,0.908614303,0.911146702,0.772597322,0.868386656,0.455672934,0.5167154,IOPS,9.0,0.023792345,14,188.4285714,11.5,348.1085041,110876,0,1,0,sequence,0.111111111939,5.0500001907300005,0.4318862925145399,0.4318863222835488,0.420745141126886,0.4671032664223609
KPI-6d1114ae-be04-3c46-b5aa-be1a003a57cd.test.out,0.517805625,0.528037963,0.580600022,0.538965099,0.743653582,0.552246591,0.476352837,0.487545438,0.614184293,0.733516987,0.644036724,0.816194812,IOPS,125.0,0.005103204,53,14.35849057,3.0,29.74425224,149122,0,1,0,sequence,69.1,252.93,0.5253476043327601,0.5253466211855071,0.7615522082944308,0.8019234230856137
KPI-6efa3a07-4544-34a0-b921-a155bd1a05e8.test.out,0.688329571,0.72188313,0.785370148,0.774306447,0.765153275,0.631019157,0.441314803,0.707143358,0.41230112,0.753076307,0.749723515,0.962487914,IOPS,15.0,0.035421192,119,44.39495798,27.0,85.1208946,149148,0,1,0,sequence,27.73,186.29,0.9107900630256645,0.9107900636835256,0.915097452360968,0.933395855141842
KPI-7103fa0f-cac4-314f-addc-866190247439.test.out,0.91128596,0.499155561,0.499838495,0.328475187,0.673777193,0.996397224,0.553727786,0.996342191,0.565784381,0.74292976,0.78378542,0.996307379,IOPS,191.0,0.000627162,21,3.238095238,3.0,0.920908553,108425,0,1,0,sequence,0.0,153.5,0.9977606702029076,0.997760805919865,0.9916041418643928,0.9842473327546364
