filename,IFOREST,LOF,MP,NORMA,IFOREST1,HBOS,OCSVM,PCA,AE_old,CNN,LSTM,POLY,dataset,period_length,ratio,nb_anomaly,average_anom_length,median_anom_length,std_anom_length,data_len,point_anom,seq_anom,mixed_anom,type_an,min_val_norm,max_val_norm,AE_unc,LSTMAE,LSTMAE_unc,AE
101-freeway-traffic.test.out,0.141869651,0.101419878,0.190237797,0.188208979,0.021380846,0.010360905,0.061003608,0.262996001,0.050578512,0.038905583,0.033354715,0.08287553,Dodgers,288.0,0.111349206,133,42.19548872,33.0,60.99074978,50400,0,0,1,mixed,0.0,90.0,0.0513888888888888,0.0513888888888888,0.0003562522265764,0.0630065759290411
MBA_ECG801_data.out,0.093100073,0.029201378,0.045775491,0.218974929,0.097315145,0.020517001,0.0,0.102191997,0.000544774,0.012548516,0.013218424,0.075715379,ECG,147.0,0.126700307,345,83.69565217,75.0,81.35189341,227900,0,1,0,sequence,-4.74,2.6,0.0730991497987958,0.0401552119466165,0.085662495614548,0.0401552119466165
MBA_ECG803_data.out,0.58259703,0.056157707,0.055252435,0.72058993,0.314181439,0.634432897,0.149861581,0.601728809,0.159173612,0.077244931,0.036028546,0.319665855,ECG,125.0,0.047851563,147,75.0,75.0,0.0,230400,0,1,0,sequence,-0.695,1.235,0.1053151429100561,0.0088650268447996,0.1644994711628196,0.0088650268447996
MBA_ECG805_data.out,0.524617487,0.018237355,0.010366305,0.328363073,0.383488784,0.209403364,0.193835707,0.472445325,0.137024563,0.012292762,0.01902402,0.44045689,ECG,99.0,0.087673611,208,97.11538462,101.0,19.97633585,230400,0,1,0,sequence,-3.04,2.85,0.3268313827481578,0.2168333333333333,0.2629331581540483,0.2168333333333333
MBA_ECG806_data.out,0.124708144,0.318223146,0.268065574,0.59526283,0.040969417,0.086943069,0.205310881,0.082146249,0.424685085,0.092653571,0.098254064,0.015226494,ECG,77.0,0.022630208,61,85.47540984,75.0,47.24009361,230400,0,1,0,sequence,-0.475,0.905,0.022809351834252,0.0380952380952381,0.0479420379219978,0.0380952380952381
MBA_ECG820_data.out,0.036918138,0.048351385,0.217226797,0.063680167,0.057043271,0.044726142,0.306732158,0.025570228,0.26579935,0.021945466,0.024124199,0.00953961,ECG,100.0,0.062439236,191,75.31937173,75.0,3.155248536,230400,0,1,0,sequence,-0.925,0.855,0.0548720124451987,0.0400572246065808,0.057368704712857,0.0400572246065808
KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.test.out,0.010046044,0.128798186,0.076346285,0.022094565,0.134809251,0.013823437,0.017426273,0.021862702,0.0,0.199521695,0.20694259,0.509528586,IOPS,125.0,0.006645209,63,15.73015873,10.0,14.85186787,149130,0,1,0,sequence,20.53,52.86,0.226988382484361,0.226988382484361,0.3579658323400874,0.1562790697674418
KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3.test.out,0.012861736,0.244897959,0.314917127,0.0,0.368421053,0.0,0.0,0.0,0.044094488,0.04519774,0.116666667,0.0,IOPS,288.0,0.001479964,4,3.25,3.0,0.433012702,8784,0,1,0,sequence,0.0291524858875005,0.4352527753822937,0.0583941605839416,0.0583941605839416,0.1209677419354838,0.1203007518796992
KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.test.out,0.0,0.05227656,0.003610108,0.066298343,0.123803446,0.005695509,0.002635046,0.0,0.0,0.230842006,0.265356265,0.497870327,IOPS,125.0,0.007275015,57,18.66666667,9.0,36.7687574,146254,0,1,0,sequence,21.1,54.31,0.5035294117647059,0.5035294117647059,0.1903580290677065,0.3810741687979539
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.test.out,0.0,0.144838213,0.232294618,0.044642857,0.247368421,0.0,0.0,0.0,0.0,0.124260355,0.129251701,0.0,IOPS,288.0,0.02345173,33,6.242424242,4.0,7.702932551,8784,0,1,0,sequence,0.0028141802601922,0.4248871004447119,0.25,0.25,0.1446808510638297,0.3288590604026846
