filename,IFOREST,LOF,MP,NORMA,IFOREST1,HBOS,OCSVM,PCA,AE_old,CNN,LSTM,POLY,dataset,period_length,ratio,nb_anomaly,average_anom_length,median_anom_length,std_anom_length,data_len,point_anom,seq_anom,mixed_anom,type_an,min_val_norm,max_val_norm,AE_unc,LSTMAE,LSTMAE_unc,AE
101-freeway-traffic.test.out,0.92688172,0.983606557,0.778489117,0.908950617,0.06405694,0.166666667,0.381930185,0.95959596,0.348519362,0.172752809,0.1664,0.347368421,Dodgers,288.0,0.111349206,133,42.19548872,33.0,60.99074978,50400,0,0,1,mixed,0.0,90.0,1.0,1.0,0.5,0.2222222222222222
MBA_ECG801_data.out,0.398325046,0.09733124,0.168168828,0.361858386,0.297239915,0.535460993,0.0,0.414225941,0.016161616,0.039873887,0.041491501,0.325526316,ECG,147.0,0.126700307,345,83.69565217,75.0,81.35189341,227900,0,1,0,sequence,-4.74,2.6,0.289272030651341,0.1328018666148162,0.2749108650778757,0.1328018666148162
MBA_ECG803_data.out,0.594505287,0.141807494,0.115807759,0.987525659,0.369466585,0.632147681,0.232887189,0.572129539,0.225511392,0.133037694,0.07629108,0.68742515,ECG,125.0,0.047851563,147,75.0,75.0,0.0,230400,0,1,0,sequence,-0.695,1.235,0.1648627754155392,0.0142199078710194,0.2618858954041204,0.0142199078710194
MBA_ECG805_data.out,0.803041127,0.098448109,0.043131569,0.927289462,0.865819701,0.79881851,0.886647842,0.793598879,0.402315485,0.033554084,0.049367351,0.861239193,ECG,99.0,0.087673611,208,97.11538462,101.0,19.97633585,230400,0,1,0,sequence,-3.04,2.85,0.8010430751400425,0.6847368421052632,0.7704523580365736,0.6847368421052632
MBA_ECG806_data.out,0.219641993,0.492957746,0.423890502,0.649365367,0.03283237,0.2248,0.659043659,0.107788162,0.473895582,0.113554133,0.131996118,1.0,ECG,77.0,0.022630208,61,85.47540984,75.0,47.24009361,230400,0,1,0,sequence,-0.475,0.905,0.0226073850791258,0.0378357926598562,0.0400773195876288,0.0378357926598562
MBA_ECG820_data.out,0.080157993,0.173763441,0.544339096,0.50308642,0.073413567,0.159965783,0.909215485,0.093667546,0.474370423,0.052069773,0.071064264,0.8625,ECG,100.0,0.062439236,191,75.31937173,75.0,3.155248536,230400,0,1,0,sequence,-0.925,0.855,0.0852497436648601,0.0842433697347894,0.2070903588413316,0.0842433697347894
KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.test.out,0.008583691,0.116968699,0.117647059,0.019654088,0.083824975,0.008186047,0.011190818,0.019290123,0.0,0.150826446,0.154613466,0.381,IOPS,125.0,0.006645209,63,15.73015873,10.0,14.85186787,149130,0,1,0,sequence,20.53,52.86,0.9921875,0.9921875,0.2228543161019045,1.0
KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3.test.out,0.007259528,0.161434978,0.195876289,0.0,0.251282051,0.0,0.0,0.0,0.024822695,0.037735849,0.142857143,0.0,IOPS,288.0,0.001479964,4,3.25,3.0,0.433012702,8784,0,1,0,sequence,0.0291524858875005,0.4352527753822937,0.0394088669950738,0.0394088669950738,0.0847457627118644,0.082051282051282
KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.test.out,0.0,0.035652674,0.002915452,0.079470199,0.071533923,0.003059903,0.001824818,0.0,0.0,0.164753545,0.179104478,0.355405405,IOPS,125.0,0.007275015,57,18.66666667,9.0,36.7687574,146254,0,1,0,sequence,21.1,54.31,0.9861751152073732,0.9861751152073732,0.1072070273507686,1.0
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.test.out,0.0,0.106094808,0.278911565,0.041322314,0.270114943,0.0,0.0,0.0,0.0,0.159090909,0.215909091,0.0,IOPS,288.0,0.02345173,33,6.242424242,4.0,7.702932551,8784,0,1,0,sequence,0.0028141802601922,0.4248871004447119,0.3508771929824561,0.3508771929824561,0.1287878787878787,0.532608695652174
KPI-42d6616d-c9c5-370a-a8ba-17ead74f3114.test.out,0.062780269,0.01641848,0.0,0.0,0.250179727,0.091035764,0.210462287,0.169616077,0.004975124,0.07890411,0.076007326,0.247849462,IOPS,6.0,0.012711097,63,30.0952381,4.0,93.62025868,149161,0,1,0,sequence,22.43,51.33,0.297166968053044,0.297166968053044,0.8877887788778878,0.7857142857142857
KPI-43115f2a-baeb-3b01-96f7-4ea14188343c.test.out,0.07325531,0.090943114,0.028414299,0.059117402,0.181278379,0.031422505,0.0,0.081695967,0.011210762,0.108949416,0.071825765,0.431884058,IOPS,51.0,0.051901065,45,124.6444444,22.0,475.1982583,108071,0,1,0,sequence,16.56,38.24,0.5333333333333333,0.5333333333333333,0.3852459016393442,0.8297872340425532
KPI-431a8542-c468-3988-a508-3afd06a218da.test.out,0.64057608,1.0,0.037603569,0.171706263,0.49893617,0.618874773,0.648416887,0.58125,0.014717907,0.735719202,0.731785428,0.426315789,IOPS,20.0,0.063713714,158,52.03797468,9.0,526.4341819,129046,0,1,0,sequence,1.0,9.625,0.8505647263249348,0.8505647263249348,0.8783359497645212,0.8705440900562852
KPI-4d2af31a-9916-3d9f-8a8e-8a268a48c095.test.out,0.5,0.615544761,0.210609481,0.349860056,0.51046798,0.523522976,0.011406844,0.545186278,0.011406844,0.222996516,0.194495413,0.689166667,IOPS,9.0,0.023210919,23,112.3913043,10.0,266.151271,111370,0,1,0,sequence,1.60000002384,7.5,0.7317073170731707,0.7317073170731707,0.7222222222222222,0.6129032258064516
KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.test.out,0.130434783,0.053956835,0.0,0.107142857,0.365482234,0.0,0.052631579,0.052631579,0.028985507,0.26119403,0.238095238,0.389473684,IOPS,19.0,0.006993007,5,12.4,6.0,15.34405422,8866,0,1,0,sequence,-4.750345054519999,5.482366195090001,1.0,1.0,1.0,1.0
KPI-55f8b8b8-b659-38df-b3df-e4a5a8a54bc9.test.out,0.11739503,0.066417481,0.214857651,0.25,0.47039801,0.004273504,0.0,0.159985423,0.0,0.164040778,0.17326969,0.456896552,IOPS,60.0,0.040842738,72,84.59722222,3.0,156.2025626,149133,0,1,0,sequence,63.69,208.69,0.3404485274250202,0.3322528363047001,0.3993650793650793,0.8897058823529411
KPI-57051487-3a40-3828-9084-a12f7f23ee38.test.out,0.002720348,0.0,0.0,0.0,0.024246396,0.019131714,0.0,0.011960478,0.0,0.046896552,0.041561713,0.135294118,IOPS,20.0,0.000411895,5,9.2,10.0,2.785677655,111679,0,1,0,sequence,0.0,99.5,0.4567901234567901,0.4567901234567901,0.4302325581395348,0.4404761904761904
KPI-6a757df4-95e5-3357-8406-165e2bd49360.test.out,0.564220183,0.49847793,0.383735705,0.50856827,0.546859903,0.0,0.199936528,0.700198544,0.0,0.009781791,0.075337598,0.24875,IOPS,9.0,0.023792345,14,188.4285714,11.5,348.1085041,110876,0,1,0,sequence,0.111111111939,5.0500001907300005,0.6388888888888888,0.6388888888888888,0.8076923076923077,0.8260869565217391
KPI-6d1114ae-be04-3c46-b5aa-be1a003a57cd.test.out,0.00813143,0.033570045,0.004646251,0.0,0.088355465,0.006973757,0.003729706,0.013076442,0.000551876,0.115015974,0.062966418,0.226146789,IOPS,125.0,0.005103204,53,14.35849057,3.0,29.74425224,149122,0,1,0,sequence,69.1,252.93,0.0,0.0,0.1856884057971014,0.6363636363636364
KPI-6efa3a07-4544-34a0-b921-a155bd1a05e8.test.out,0.243671695,0.369788986,0.085699171,0.070833333,0.285959324,0.137198531,0.024888889,0.339570721,0.006441834,0.389679127,0.291231733,0.54627193,IOPS,15.0,0.035421192,119,44.39495798,27.0,85.1208946,149148,0,1,0,sequence,27.73,186.29,0.5053868756121449,0.5053868756121449,0.6610169491525424,0.7037037037037037
KPI-7103fa0f-cac4-314f-addc-866190247439.test.out,0.022377622,0.0,0.0,0.0,0.004691447,0.038570618,0.0,0.081751825,0.0,0.00496124,0.005858231,0.155882353,IOPS,191.0,0.000627162,21,3.238095238,3.0,0.920908553,108425,0,1,0,sequence,0.0,153.5,0.0399522957662492,0.0399761336515513,0.0,1.0
KPI-847e8ecc-f8d2-3a93-9107-f367a0aab37d.test.out,0.004527814,0.061107575,0.013263856,0.06870229,0.057595227,0.002734108,0.011856369,0.016447368,0.012031626,0.137859008,0.165176223,0.396875,IOPS,6.0,0.00766611,59,19.0,18.0,28.33396477,146228,0,1,0,sequence,23.24,59.0,1.0,0.8854166666666666,0.1918028395392445,1.0
KPI-8723f0fb-eaef-32e6-b372-6034c9c04b80.test.out,0.0,0.044298114,0.003055768,0.003797125,0.059480776,0.004457889,0.027552674,0.013775322,0.099041534,0.076583211,0.070083224,0.249494949,IOPS,125.0,0.005438646,62,13.08064516,3.0,28.16672619,149118,0,1,0,sequence,61.43,263.13,0.0,0.0,0.0602683647941778,0.8172043010752689
KPI-9c639a46-34c8-39bc-aaf0-9144b37adfc8.test.out,0.036036036,0.090033346,0.025914634,0.132727273,0.160502442,0.064941406,0.0,0.036312849,0.016494845,0.133333333,0.080943571,0.395588235,IOPS,165.0,0.056396543,46,132.5,17.0,483.5971082,108074,0,1,0,sequence,16.21,38.26,0.6058091286307054,0.6058091286307054,0.4104960460100647,0.8508771929824561
KPI-a07ac296-de40-3a7c-8df3-91f642cc14d0.test.out,0.305361305,0.04805492,0.011734029,0.173688101,0.241916634,0.23141655,0.0,0.203587444,0.011437908,0.09246417,0.093659104,0.281097561,IOPS,11.0,0.053186194,60,94.38333333,23.0,361.4841671,106475,0,1,0,sequence,75.55,216.91,0.1707979626485568,0.1709546377792823,0.1105555555555555,0.9423076923076924
KPI-a8c06b47-cc41-3738-9110-12df0ee4c721.test.out,0.304932735,0.279352227,0.0,0.002795248,0.275510204,0.46875,0.0,0.287449393,0.0,0.2421875,0.172932331,0.35,IOPS,9.0,0.016759039,10,12.7,4.5,19.91004771,7578,0,1,0,sequence,-2.56046888914,7.786339683089999,0.3658536585365853,0.3658536585365853,0.3068181818181818,0.65
KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.test.out,0.0,0.0,0.007042254,0.021276596,0.126213592,0.0,0.0,0.0,0.0,0.015384615,0.107692308,0.0,IOPS,287.0,0.017346939,14,13.35714286,12.5,5.601111406,10780,0,1,0,sequence,-1.7961483698700005,2.97008542432,0.0301507537688442,0.0301507537688442,0.0432432432432432,0.05078125
KPI-adb2fde9-8589-3f5b-a410-5fe14386c7af.test.out,0.010335917,0.012177302,0.0,0.026156942,0.264005949,0.0,0.164512922,0.175443787,0.0,0.084542271,0.085498347,0.270454545,IOPS,125.0,0.009763836,92,15.52173913,4.0,43.12254486,146254,0,1,0,sequence,20.68,50.22,0.1019438444924406,0.1019438444924406,0.0929745889387145,0.8820224719101124
KPI-ba5f3328-9f3f-3ff5-a683-84437d16d554.test.out,0.217741935,0.089397742,0.135951662,0.927643785,0.513092711,0.290872618,0.202797203,0.179837518,0.138814016,0.437849162,0.204740292,0.491481481,IOPS,125.0,0.017204331,61,41.21311475,3.0,82.28561111,146126,0,1,0,sequence,61.08,179.41,0.4923134608173978,0.528169014084507,0.4819342569953816,0.8454545454545455
KPI-c02607e8-7399-3dde-9d28-8a8da5e5d251.test.out,0.0,0.00877193,0.226993865,0.026647966,0.284023669,0.0,0.0,0.0,0.02739726,0.25,0.342857143,0.047619048,IOPS,288.0,0.006944444,5,12.2,3.0,17.90418945,8784,0,1,0,sequence,0.0166604113217433,0.4179777614503836,0.2368421052631578,0.2368421052631578,0.0769230769230769,0.8
KPI-c69a50cf-ee03-3bd7-831e-407d36c7ee91.test.out,0.002482622,0.032890133,0.016883117,0.047989624,0.068285976,0.007065824,0.005020921,0.0,0.0,0.201265823,0.166081284,0.379166667,IOPS,125.0,0.004706387,59,11.89830508,11.0,9.313185323,149159,0,1,0,sequence,20.37,52.03,0.1802788844621514,0.1802788844621514,0.1300309597523219,1.0
